scenario,margin_ct_per_kwh,energy_type,postcode,consumption_label,consumption_level_kwh,contract_length_months,provider,product,our_unit_rate_ct_per_kwh,our_standing_charge_eur_per_year,our_signup_bonus_eur,our_annual_cost_after_bonus_eur,our_rank,total_offers,cheaper_offers_count,percentile_rank,is_cheapest,is_top_3,avg_competitor_unit_rate_ct,avg_competitor_annual_cost_eur,min_competitor_annual_cost_eur,delta_vs_cheapest_competitor_eur,delta_rank_vs_standard
standard,1.5,ELECTRICITY,37586,medium,2000,12,Octopus Energy,Select+ Secure 12 Strom,27.82696,146.72,100.0,603.2543000000001,6,54,5,9.4,false,false,28.97,652.43,536.11,67.14,0
aggressive,0.8,ELECTRICITY,37586,high,4500,12,Octopus Energy,Select+ Secure 12 Strom,26.993959999999994,146.72,100.0,1261.4433,8,49,7,14.6,false,false,28.89,1311.13,1195.83,65.61,-16
conservative,2.5,ELECTRICITY,37586,high,4500,12,Octopus Energy,Select+ Secure 12 Strom,29.016959999999997,146.72,100.0,1352.4782999999998,37,49,36,75.0,false,false,28.89,1311.13,1195.83,156.65,13
standard,1.5,ELECTRICITY,37586,high,4500,12,Octopus Energy,Select+ Secure 12 Strom,27.82696,146.72,100.0,1298.9283,24,49,23,47.9,false,false,28.89,1311.13,1195.83,103.1,0
aggressive,0.8,ELECTRICITY,37586,max,12000,12,Octopus Energy,Select+ Secure 12 Strom,26.993959999999994,146.72,100.0,3285.990299999999,1,1,0,,true,true,,,,,0
conservative,2.5,ELECTRICITY,37586,max,12000,12,Octopus Energy,Select+ Secure 12 Strom,29.016959999999997,146.72,100.0,3528.7502999999997,1,1,0,,true,true,,,,,0
standard,1.5,ELECTRICITY,37586,max,12000,12,Octopus Energy,Select+ Secure 12 Strom,27.82696,146.72,100.0,3385.9503,1,1,0,,true,true,,,,,0
aggressive,0.8,ELECTRICITY,38106,low,1000,12,Octopus Energy,Select+ Secure 12 Strom,28.11256,94.03,18.321953999999998,356.83744599999994,15,57,14,25.0,false,false,33.08,368.69,-153.79,510.63,-2
conservative,2.5,ELECTRICITY,38106,low,1000,12,Octopus Energy,Select+ Secure 12 Strom,30.13556,94.03,18.625403999999996,376.76399599999996,19,57,18,32.1,false,false,33.08,368.69,-153.79,530.55,2
standard,1.5,ELECTRICITY,38106,low,1000,12,Octopus Energy,Select+ Secure 12 Strom,28.945559999999997,94.03,18.446903999999996,365.04249599999997,17,57,16,28.6,false,false,33.08,368.69,-153.79,518.83,0
aggressive,0.8,ELECTRICITY,38106,medium,2000,12,Octopus Energy,Select+ Secure 12 Strom,28.11256,94.03,98.44274999999998,557.8422499999999,3,55,2,3.7,false,true,33.03,655.22,235.41,322.43,-1
conservative,2.5,ELECTRICITY,38106,medium,2000,12,Octopus Energy,Select+ Secure 12 Strom,30.13556,94.03,100.0,596.7449999999999,6,55,5,9.3,false,false,33.03,655.22,235.41,361.34,2
standard,1.5,ELECTRICITY,38106,medium,2000,12,Octopus Energy,Select+ Secure 12 Strom,28.945559999999997,94.03,100.0,572.9449999999999,4,55,3,5.6,false,false,33.03,655.22,235.41,337.54,0
aggressive,0.8,ELECTRICITY,38106,high,4500,12,Octopus Energy,Select+ Secure 12 Strom,28.11256,94.03,100.0,1259.0989999999997,2,49,1,2.1,false,true,32.91,1414.98,1208.41,50.69,-1
conservative,2.5,ELECTRICITY,38106,high,4500,12,Octopus Energy,Select+ Secure 12 Strom,30.13556,94.03,100.0,1350.134,7,49,6,12.5,false,false,32.91,1414.98,1208.41,141.72,4
standard,1.5,ELECTRICITY,38106,high,4500,12,Octopus Energy,Select+ Secure 12 Strom,28.945559999999997,94.03,100.0,1296.5839999999998,3,49,2,4.2,false,true,32.91,1414.98,1208.41,88.17,0
aggressive,0.8,ELECTRICITY,38106,max,12000,12,Octopus Energy,Select+ Secure 12 Strom,28.11256,94.03,100.0,3367.5409999999997,1,1,0,,true,true,,,,,0
conservative,2.5,ELECTRICITY,38106,max,12000,12,Octopus Energy,Select+ Secure 12 Strom,30.13556,94.03,100.0,3610.3010000000004,1,1,0,,true,true,,,,,0
standard,1.5,ELECTRICITY,38106,max,12000,12,Octopus Energy,Select+ Secure 12 Strom,28.945559999999997,94.03,100.0,3467.5009999999997,1,1,0,,true,true,,,,,0
aggressive,0.8,ELECTRICITY,46325,low,1000,12,Octopus Energy,Select+ Secure 12 Strom,31.64686,124.6,23.437763999999998,417.63573599999995,23,57,22,39.3,false,false,33.78,406.24,-121.64,539.28,-7
conservative,2.5,ELECTRICITY,46325,low,1000,12,Octopus Energy,Select+ Secure 12 Strom,33.66986,124.6,23.741213999999996,437.562286,39,57,38,67.9,false,false,33.78,406.24,-121.64,559.2,9
standard,1.5,ELECTRICITY,46325,low,1000,12,Octopus Energy,Select+ Secure 12 Strom,32.47986,124.6,23.562713999999996,425.840786,30,57,29,51.8,false,false,33.78,406.24,-121.64,547.48,0
aggressive,0.8,ELECTRICITY,46325,medium,2000,12,Octopus Energy,Select+ Secure 12 Strom,31.64686,124.6,100.0,657.5420999999999,9,54,8,15.1,false,false,33.65,694.8,274.16,383.38,-16
conservative,2.5,ELECTRICITY,46325,medium,2000,12,Octopus Energy,Select+ Secure 12 Strom,33.66986,124.6,100.0,698.0020999999999,30,54,29,54.7,false,false,33.65,694.8,274.16,423.84,5
standard,1.5,ELECTRICITY,46325,medium,2000,12,Octopus Energy,Select+ Secure 12 Strom,32.47986,124.6,100.0,674.2021,25,54,24,45.3,false,false,33.65,694.8,274.16,400.04,0
aggressive,0.8,ELECTRICITY,46325,high,4500,12,Octopus Energy,Select+ Secure 12 Strom,31.64686,124.6,100.0,1448.7136,19,48,18,38.3,false,false,33.66,1472.46,1263.66,185.05,-13
conservative,2.5,ELECTRICITY,46325,high,4500,12,Octopus Energy,Select+ Secure 12 Strom,33.66986,124.6,100.0,1539.7486000000001,39,48,38,80.9,false,false,33.66,1472.46,1263.66,276.09,7
