scenario,margin_ct_per_kwh,energy_type,postcode,consumption_label,consumption_level_kwh,contract_length_months,provider,product,our_unit_rate_ct_per_kwh,our_standing_charge_eur_per_year,our_signup_bonus_eur,our_annual_cost_after_bonus_eur,our_rank,total_offers,cheaper_offers_count,percentile_rank,is_cheapest,is_top_3,avg_competitor_unit_rate_ct,avg_competitor_annual_cost_eur,min_competitor_annual_cost_eur,delta_vs_cheapest_competitor_eur,delta_rank_vs_standard
aggressive,0.2,GAS,10405,max,40000,12,Octopus Energy,OctopusSelect+ 12 Gas,8.613219999999998,107.47,140.0,3412.7568999999994,34,34,33,100.0,false,false,8.47,3285.27,2957.32,455.44,0
conservative,1.0,GAS,10405,max,40000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.56522,107.47,140.0,3793.5568999999996,34,34,33,100.0,false,false,8.47,3285.27,2957.32,836.24,0
standard,0.5,GAS,10405,max,40000,12,Octopus Energy,OctopusSelect+ 12 Gas,8.97022,107.47,140.0,3555.5568999999996,34,34,33,100.0,false,false,8.47,3285.27,2957.32,598.24,0
aggressive,0.2,GAS,26676,low,5000,12,Octopus Energy,OctopusSelect+ 12 Gas,7.95872,203.63,78.30917808,523.25962192,13,51,12,24.0,false,false,8.21,543.67,15.24,508.02,0
conservative,1.0,GAS,26676,low,5000,12,Octopus Energy,OctopusSelect+ 12 Gas,8.910719999999998,203.63,84.02260607999999,565.14619392,19,51,18,36.0,false,false,8.21,543.67,15.24,549.91,6
standard,0.5,GAS,26676,low,5000,12,Octopus Energy,OctopusSelect+ 12 Gas,8.315719999999999,203.63,80.45171358,538.9670864199999,13,51,12,24.0,false,false,8.21,543.67,15.24,523.73,0
aggressive,0.2,GAS,26676,medium,12000,12,Octopus Energy,OctopusSelect+ 12 Gas,7.95872,203.63,140.0,1018.6792,19,44,18,41.9,false,false,8.01,1037.26,661.34,357.34,-8
conservative,1.0,GAS,26676,medium,12000,12,Octopus Energy,OctopusSelect+ 12 Gas,8.910719999999998,203.63,140.0,1132.9191999999998,38,44,37,86.0,false,false,8.01,1037.26,661.34,471.58,11
standard,0.5,GAS,26676,medium,12000,12,Octopus Energy,OctopusSelect+ 12 Gas,8.315719999999999,203.63,140.0,1061.5192,27,44,26,60.5,false,false,8.01,1037.26,661.34,400.18,0
aggressive,0.2,GAS,26676,high,22000,12,Octopus Energy,OctopusSelect+ 12 Gas,7.95872,203.63,140.0,1814.5512,30,39,29,76.3,false,false,7.95,1752.35,1565.59,248.96,-7
conservative,1.0,GAS,26676,high,22000,12,Octopus Energy,OctopusSelect+ 12 Gas,8.910719999999998,203.63,140.0,2023.9911999999995,39,39,38,100.0,false,false,7.95,1752.35,1565.59,458.4,2
standard,0.5,GAS,26676,high,22000,12,Octopus Energy,OctopusSelect+ 12 Gas,8.315719999999999,203.63,140.0,1893.0911999999998,37,39,36,94.7,false,false,7.95,1752.35,1565.59,327.5,0
aggressive,0.2,GAS,26676,max,40000,12,Octopus Energy,OctopusSelect+ 12 Gas,7.95872,203.63,140.0,3247.1207999999997,30,32,29,93.5,false,false,7.86,3110.92,2792.44,454.68,-2
conservative,1.0,GAS,26676,max,40000,12,Octopus Energy,OctopusSelect+ 12 Gas,8.910719999999998,203.63,140.0,3627.9207999999994,32,32,31,100.0,false,false,7.86,3110.92,2792.44,835.48,0
standard,0.5,GAS,26676,max,40000,12,Octopus Energy,OctopusSelect+ 12 Gas,8.315719999999999,203.63,140.0,3389.9207999999994,32,32,31,100.0,false,false,7.86,3110.92,2792.44,597.48,0
aggressive,0.2,GAS,37586,low,5000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.220119999999998,35.62,19.186515179999997,477.4361848199999,22,51,21,42.0,false,false,9.03,469.54,3.72,473.72,-4
conservative,1.0,GAS,37586,low,5000,12,Octopus Energy,OctopusSelect+ 12 Gas,10.172119999999998,35.62,20.615943179999995,523.6067568199999,39,51,38,76.0,false,false,9.03,469.54,3.72,519.89,13
standard,0.5,GAS,37586,low,5000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.577119999999999,35.62,19.722550679999994,494.75014931999993,26,51,25,50.0,false,false,9.03,469.54,3.72,491.03,0
aggressive,0.2,GAS,37586,medium,12000,12,Octopus Energy,OctopusSelect+ 12 Gas,8.815520000000001,76.74,140.0,994.6054999999999,17,42,16,39.0,false,false,8.76,1025.41,730.32,264.29,-6
conservative,1.0,GAS,37586,medium,12000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.76752,76.74,140.0,1108.8455,37,42,36,87.8,false,false,8.76,1025.41,730.32,378.53,14
standard,0.5,GAS,37586,medium,12000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.17252,76.74,140.0,1037.4455,23,42,22,53.7,false,false,8.76,1025.41,730.32,307.13,0
aggressive,0.2,GAS,37586,high,22000,12,Octopus Energy,OctopusSelect+ 12 Gas,8.815520000000001,76.74,140.0,1876.1575,28,37,27,75.0,false,false,8.69,1816.83,1594.74,281.42,-7
conservative,1.0,GAS,37586,high,22000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.76752,76.74,140.0,2085.5975,37,37,36,100.0,false,false,8.69,1816.83,1594.74,490.86,2
standard,0.5,GAS,37586,high,22000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.17252,76.74,140.0,1954.6975000000002,35,37,34,94.4,false,false,8.69,1816.83,1594.74,359.96,0
aggressive,0.2,GAS,37586,max,40000,12,Octopus Energy,OctopusSelect+ 12 Gas,8.815520000000001,76.74,140.0,3462.9511,28,31,27,90.0,false,false,8.64,3329.71,3006.71,456.24,-3
conservative,1.0,GAS,37586,max,40000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.76752,76.74,140.0,3843.7511,31,31,30,100.0,false,false,8.64,3329.71,3006.71,837.04,0
standard,0.5,GAS,37586,max,40000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.17252,76.74,140.0,3605.7511000000004,31,31,30,100.0,false,false,8.64,3329.71,3006.71,599.04,0
aggressive,0.2,GAS,38106,low,5000,12,Octopus Energy,OctopusSelect+ 12 Gas,11.076519999999999,61.78,42.51389478,573.09690522,13,52,12,23.5,false,false,10.97,573.77,-59.17,632.27,-10
conservative,1.0,GAS,38106,low,5000,12,Octopus Energy,OctopusSelect+ 12 Gas,12.028519999999999,61.78,45.37132277999999,617.8394772199999,32,52,31,60.8,false,false,10.97,573.77,-59.17,677.01,9
standard,0.5,GAS,38106,low,5000,12,Octopus Energy,OctopusSelect+ 12 Gas,11.43352,61.78,43.585430280000004,589.8753697200001,23,52,22,43.1,false,false,10.97,573.77,-59.17,649.05,0
aggressive,0.2,GAS,38106,medium,12000,12,Octopus Energy,OctopusSelect+ 12 Gas,10.71952,97.48,140.0,1243.8272,18,43,17,40.5,false,false,10.72,1259.46,780.13,463.7,-8
conservative,1.0,GAS,38106,medium,12000,12,Octopus Energy,OctopusSelect+ 12 Gas,11.671519999999997,97.48,140.0,1358.0671999999997,38,43,37,88.1,false,false,10.72,1259.46,780.13,577.94,12
standard,0.5,GAS,38106,medium,12000,12,Octopus Energy,OctopusSelect+ 12 Gas,11.076519999999999,97.48,140.0,1286.6671999999999,26,43,25,59.5,false,false,10.72,1259.46,780.13,506.54,0
aggressive,0.2,GAS,38106,high,22000,12,Octopus Energy,OctopusSelect+ 12 Gas,10.71952,97.48,140.0,2315.7792,30,39,29,76.3,false,false,10.63,2240.88,1979.13,336.65,-9
conservative,1.0,GAS,38106,high,22000,12,Octopus Energy,OctopusSelect+ 12 Gas,11.671519999999997,97.48,140.0,2525.2191999999995,39,39,38,100.0,false,false,10.63,2240.88,1979.13,546.09,0
standard,0.5,GAS,38106,high,22000,12,Octopus Energy,OctopusSelect+ 12 Gas,11.076519999999999,97.48,140.0,2394.3192,39,39,38,100.0,false,false,10.63,2240.88,1979.13,415.19,0
aggressive,0.2,GAS,38106,max,40000,12,Octopus Energy,OctopusSelect+ 12 Gas,10.612419999999998,123.66,140.0,4228.632799999999,33,33,32,100.0,false,false,10.55,4091.7,3767.96,460.67,0
conservative,1.0,GAS,38106,max,40000,12,Octopus Energy,OctopusSelect+ 12 Gas,11.564419999999998,123.66,140.0,4609.432799999999,33,33,32,100.0,false,false,10.55,4091.7,3767.96,841.47,0
standard,0.5,GAS,38106,max,40000,12,Octopus Energy,OctopusSelect+ 12 Gas,10.96942,123.66,140.0,4371.4328000000005,33,33,32,100.0,false,false,10.55,4091.7,3767.96,603.47,0
aggressive,0.2,GAS,46325,low,5000,12,Octopus Energy,OctopusSelect+ 12 Gas,8.72032,44.52,32.85172548,447.68217452,25,49,24,50.0,false,false,8.64,436.27,-137.78,585.46,-1
conservative,1.0,GAS,46325,low,5000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.672319999999997,44.52,35.70915347999999,492.4247465199999,36,49,35,72.9,false,false,8.64,436.27,-137.78,630.2,10
standard,0.5,GAS,46325,low,5000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.07732,44.52,33.92326098,464.46063902,26,49,25,52.1,false,false,8.64,436.27,-137.78,602.24,0
aggressive,0.2,GAS,46325,medium,12000,12,Octopus Energy,OctopusSelect+ 12 Gas,8.57752,58.77,140.0,948.0765000000001,17,46,16,35.6,false,false,8.5,977.07,563.62,384.46,-8
conservative,1.0,GAS,46325,medium,12000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.52952,58.77,140.0,1062.3165000000001,42,46,41,91.1,false,false,8.5,977.07,563.62,498.7,17
standard,0.5,GAS,46325,medium,12000,12,Octopus Energy,OctopusSelect+ 12 Gas,8.93452,58.77,140.0,990.9165,25,46,24,53.3,false,false,8.5,977.07,563.62,427.3,0
aggressive,0.2,GAS,46325,high,22000,12,Octopus Energy,OctopusSelect+ 12 Gas,8.57752,58.77,140.0,1805.8285,30,40,29,74.4,false,false,8.4,1746.68,1557.64,248.19,-9
conservative,1.0,GAS,46325,high,22000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.52952,58.77,140.0,2015.2685000000001,40,40,39,100.0,false,false,8.4,1746.68,1557.64,457.63,1
standard,0.5,GAS,46325,high,22000,12,Octopus Energy,OctopusSelect+ 12 Gas,8.93452,58.77,140.0,1884.3685,39,40,38,97.4,false,false,8.4,1746.68,1557.64,326.73,0
aggressive,0.2,GAS,46325,max,40000,12,Octopus Energy,OctopusSelect+ 12 Gas,8.482319999999998,82.53,140.0,3335.4544999999994,33,34,32,97.0,false,false,8.31,3202.64,2884.94,450.51,-1
conservative,1.0,GAS,46325,max,40000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.43432,82.53,140.0,3716.2544999999996,34,34,33,100.0,false,false,8.31,3202.64,2884.94,831.31,0
standard,0.5,GAS,46325,max,40000,12,Octopus Energy,OctopusSelect+ 12 Gas,8.839319999999999,82.53,140.0,3478.2544999999996,34,34,33,100.0,false,false,8.31,3202.64,2884.94,593.31,0
aggressive,0.2,GAS,47574,low,5000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.612819999999997,57.32,37.451224229999994,500.5120757699999,24,51,23,46.0,false,false,9.57,483.84,-186.85,687.36,-1
conservative,1.0,GAS,47574,low,5000,12,Octopus Energy,OctopusSelect+ 12 Gas,10.564819999999997,57.32,40.30865222999999,545.2546477699999,38,51,37,74.0,false,false,9.57,483.84,-186.85,732.1,13
standard,0.5,GAS,47574,low,5000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.969819999999999,57.32,38.52275973,517.29054027,25,51,24,48.0,false,false,9.57,483.84,-186.85,704.14,0
aggressive,0.2,GAS,47574,medium,12000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.517619999999999,66.84,140.0,1068.9567,18,45,17,38.6,false,false,9.42,1087.01,595.05,473.91,-6
conservative,1.0,GAS,47574,medium,12000,12,Octopus Energy,OctopusSelect+ 12 Gas,10.469619999999997,66.84,140.0,1183.1966999999997,40,45,39,88.6,false,false,9.42,1087.01,595.05,588.15,16
standard,0.5,GAS,47574,medium,12000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.874619999999998,66.84,140.0,1111.7966999999999,24,45,23,52.3,false,false,9.42,1087.01,595.05,516.75,0
aggressive,0.2,GAS,47574,high,22000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.517619999999999,66.84,140.0,2020.7186999999994,30,39,29,76.3,false,false,9.34,1952.06,1712.05,308.67,-8
conservative,1.0,GAS,47574,high,22000,12,Octopus Energy,OctopusSelect+ 12 Gas,10.469619999999997,66.84,140.0,2230.158699999999,39,39,38,100.0,false,false,9.34,1952.06,1712.05,518.11,1
standard,0.5,GAS,47574,high,22000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.874619999999998,66.84,140.0,2099.2586999999994,38,39,37,97.4,false,false,9.34,1952.06,1712.05,387.21,0
aggressive,0.2,GAS,47574,max,40000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.32722,114.44,140.0,3705.3303,32,33,31,96.9,false,false,9.22,3566.36,3247.91,457.42,-1
conservative,1.0,GAS,47574,max,40000,12,Octopus Energy,OctopusSelect+ 12 Gas,10.27922,114.44,140.0,4086.1303,33,33,32,100.0,false,false,9.22,3566.36,3247.91,838.22,0
standard,0.5,GAS,47574,max,40000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.68422,114.44,140.0,3848.1303000000003,33,33,32,100.0,false,false,9.22,3566.36,3247.91,600.22,0
aggressive,0.2,GAS,57413,low,5000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.672319999999997,45.91,9.788225999999998,519.7379739999999,30,51,29,58.0,false,false,9.62,492.23,-181.13,700.87,-7
conservative,1.0,GAS,57413,low,5000,12,Octopus Energy,OctopusSelect+ 12 Gas,10.624319999999997,45.91,10.073825999999999,567.0523739999999,46,51,45,90.0,false,false,9.62,492.23,-181.13,748.18,9
standard,0.5,GAS,57413,low,5000,12,Octopus Energy,OctopusSelect+ 12 Gas,10.029319999999998,45.91,9.895325999999999,537.480874,37,51,36,72.0,false,false,9.62,492.23,-181.13,718.61,0
aggressive,0.2,GAS,57413,medium,12000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.672319999999997,45.91,140.0,1066.5885999999998,16,43,15,35.7,false,false,9.56,1092.02,602.17,464.42,-8
conservative,1.0,GAS,57413,medium,12000,12,Octopus Energy,OctopusSelect+ 12 Gas,10.624319999999997,45.91,140.0,1180.8285999999998,38,43,37,88.1,false,false,9.56,1092.02,602.17,578.66,14
standard,0.5,GAS,57413,medium,12000,12,Octopus Energy,OctopusSelect+ 12 Gas,10.029319999999998,45.91,140.0,1109.4286,24,43,23,54.8,false,false,9.56,1092.02,602.17,507.26,0
aggressive,0.2,GAS,57413,high,22000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.52952,75.18,140.0,2031.6786000000002,28,38,27,73.0,false,false,9.42,1964.23,1721.17,310.51,-9
conservative,1.0,GAS,57413,high,22000,12,Octopus Energy,OctopusSelect+ 12 Gas,10.481519999999998,75.18,140.0,2241.1186,38,38,37,100.0,false,false,9.42,1964.23,1721.17,519.95,1
standard,0.5,GAS,57413,high,22000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.88652,75.18,140.0,2110.2186,37,38,36,97.3,false,false,9.42,1964.23,1721.17,389.05,0
aggressive,0.2,GAS,57413,max,40000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.52952,75.18,140.0,3746.9922,31,32,30,96.8,false,false,9.36,3606.99,3290.69,456.3,-1
conservative,1.0,GAS,57413,max,40000,12,Octopus Energy,OctopusSelect+ 12 Gas,10.481519999999998,75.18,140.0,4127.792199999999,32,32,31,100.0,false,false,9.36,3606.99,3290.69,837.1,0
standard,0.5,GAS,57413,max,40000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.88652,75.18,140.0,3889.7922000000003,32,32,31,100.0,false,false,9.36,3606.99,3290.69,599.1,0
aggressive,0.2,GAS,71691,low,5000,12,Octopus Energy,OctopusSelect+ 12 Gas,10.219719999999999,42.72,9.474065999999999,544.2329339999999,28,51,27,54.0,false,false,10.1,529.53,25.48,518.75,-7
conservative,1.0,GAS,71691,low,5000,12,Octopus Energy,OctopusSelect+ 12 Gas,11.171719999999999,42.72,9.759665999999998,591.5473339999999,46,51,45,90.0,false,false,10.1,529.53,25.48,566.07,11
standard,0.5,GAS,71691,low,5000,12,Octopus Energy,OctopusSelect+ 12 Gas,10.57672,42.72,9.581165999999998,561.975834,35,51,34,68.0,false,false,10.1,529.53,25.48,536.5,0
aggressive,0.2,GAS,71691,medium,12000,12,Octopus Energy,OctopusSelect+ 12 Gas,10.20782,42.72,140.0,1127.6594,15,43,14,33.3,false,false,9.9,1173.34,873.18,254.48,-4
conservative,1.0,GAS,71691,medium,12000,12,Octopus Energy,OctopusSelect+ 12 Gas,11.159819999999998,42.72,140.0,1241.8993999999998,36,43,35,83.3,false,false,9.9,1173.34,873.18,368.72,17
standard,0.5,GAS,71691,medium,12000,12,Octopus Energy,OctopusSelect+ 12 Gas,10.56482,42.72,140.0,1170.4994,19,43,18,42.9,false,false,9.9,1173.34,873.18,297.32,0
aggressive,0.2,GAS,71691,high,22000,12,Octopus Energy,OctopusSelect+ 12 Gas,10.20782,42.72,140.0,2148.4413999999997,26,37,25,69.4,false,false,9.73,2102.25,1884.16,264.28,-9
conservative,1.0,GAS,71691,high,22000,12,Octopus Energy,OctopusSelect+ 12 Gas,11.159819999999998,42.72,140.0,2357.8813999999998,37,37,36,100.0,false,false,9.73,2102.25,1884.16,473.72,2
standard,0.5,GAS,71691,high,22000,12,Octopus Energy,OctopusSelect+ 12 Gas,10.56482,42.72,140.0,2226.9814,35,37,34,94.4,false,false,9.73,2102.25,1884.16,342.82,0
aggressive,0.2,GAS,71691,max,40000,12,Octopus Energy,OctopusSelect+ 12 Gas,10.20782,42.72,140.0,3985.8489999999993,31,31,30,100.0,false,false,9.75,3827.13,3437.75,548.1,0
conservative,1.0,GAS,71691,max,40000,12,Octopus Energy,OctopusSelect+ 12 Gas,11.159819999999998,42.72,140.0,4366.6489999999985,31,31,30,100.0,false,false,9.75,3827.13,3437.75,928.9,0
standard,0.5,GAS,71691,max,40000,12,Octopus Energy,OctopusSelect+ 12 Gas,10.56482,42.72,140.0,4128.648999999999,31,31,30,100.0,false,false,9.75,3827.13,3437.75,690.9,0
aggressive,0.2,GAS,81671,low,5000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.672319999999997,41.53,9.131345999999999,516.0156539999999,27,49,26,54.2,false,false,9.34,487.66,-165.19,681.21,-7
conservative,1.0,GAS,81671,low,5000,12,Octopus Energy,OctopusSelect+ 12 Gas,10.624319999999997,41.53,9.416946,563.3300539999998,46,49,45,93.8,false,false,9.34,487.66,-165.19,728.52,12
standard,0.5,GAS,81671,low,5000,12,Octopus Energy,OctopusSelect+ 12 Gas,10.029319999999998,41.53,9.238446,533.758554,34,49,33,68.8,false,false,9.34,487.66,-165.19,698.95,0
aggressive,0.2,GAS,81671,medium,12000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.12492,80.17,140.0,1035.1607,18,42,17,41.5,false,false,9.06,1058.49,583.81,451.35,-5
conservative,1.0,GAS,81671,medium,12000,12,Octopus Energy,OctopusSelect+ 12 Gas,10.07692,80.17,140.0,1149.4007,38,42,37,90.2,false,false,9.06,1058.49,583.81,565.59,15
standard,0.5,GAS,81671,medium,12000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.481919999999999,80.17,140.0,1078.0006999999998,23,42,22,53.7,false,false,9.06,1058.49,583.81,494.19,0
aggressive,0.2,GAS,81671,high,22000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.12492,80.17,140.0,1947.6526999999996,27,38,26,70.3,false,false,8.99,1883.76,1653.81,293.84,-11
conservative,1.0,GAS,81671,high,22000,12,Octopus Energy,OctopusSelect+ 12 Gas,10.07692,80.17,140.0,2157.0927,38,38,37,100.0,false,false,8.99,1883.76,1653.81,503.28,0
standard,0.5,GAS,81671,high,22000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.481919999999999,80.17,140.0,2026.1926999999996,38,38,37,100.0,false,false,8.99,1883.76,1653.81,372.38,0
aggressive,0.2,GAS,81671,max,40000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.12492,80.17,140.0,3590.1382999999996,32,32,31,100.0,false,false,8.94,3448.49,3134.74,455.4,0
conservative,1.0,GAS,81671,max,40000,12,Octopus Energy,OctopusSelect+ 12 Gas,10.07692,80.17,140.0,3970.9383,32,32,31,100.0,false,false,8.94,3448.49,3134.74,836.2,0
standard,0.5,GAS,81671,max,40000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.481919999999999,80.17,140.0,3732.9383,32,32,31,100.0,false,false,8.94,3448.49,3134.74,598.2,0
aggressive,0.2,GAS,86470,low,5000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.291519999999998,36.87,8.317385999999999,493.12481399999996,27,48,26,55.3,false,false,9.02,463.27,-78.79,571.91,-7
conservative,1.0,GAS,86470,low,5000,12,Octopus Energy,OctopusSelect+ 12 Gas,10.243519999999998,36.87,8.602986,540.439214,46,48,45,95.7,false,false,9.02,463.27,-78.79,619.23,12
standard,0.5,GAS,86470,low,5000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.64852,36.87,8.424486,510.867714,34,48,33,70.2,false,false,9.02,463.27,-78.79,589.66,0
aggressive,0.2,GAS,86470,medium,12000,12,Octopus Energy,OctopusSelect+ 12 Gas,8.79172,76.66,140.0,991.6661999999999,17,42,16,39.0,false,false,8.71,1016.31,630.31,361.36,-7
conservative,1.0,GAS,86470,medium,12000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.743719999999998,76.66,140.0,1105.9061999999997,37,42,36,87.8,false,false,8.71,1016.31,630.31,475.6,13
standard,0.5,GAS,86470,medium,12000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.14872,76.66,140.0,1034.5062,24,42,23,56.1,false,false,8.71,1016.31,630.31,404.2,0
aggressive,0.2,GAS,86470,high,22000,12,Octopus Energy,OctopusSelect+ 12 Gas,8.79172,76.66,140.0,1870.8382,28,37,27,75.0,false,false,8.6,1806.55,1619.54,251.3,-8
conservative,1.0,GAS,86470,high,22000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.743719999999998,76.66,140.0,2080.2781999999997,37,37,36,100.0,false,false,8.6,1806.55,1619.54,460.74,1
standard,0.5,GAS,86470,high,22000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.14872,76.66,140.0,1949.3782,36,37,35,97.2,false,false,8.6,1806.55,1619.54,329.84,0
aggressive,0.2,GAS,86470,max,40000,12,Octopus Energy,OctopusSelect+ 12 Gas,8.672719999999998,104.36,140.0,3433.4509999999996,31,32,30,96.8,false,false,8.56,3296.05,2971.67,461.78,-1
conservative,1.0,GAS,86470,max,40000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.62472,104.36,140.0,3814.2509999999993,32,32,31,100.0,false,false,8.56,3296.05,2971.67,842.58,0
standard,0.5,GAS,86470,max,40000,12,Octopus Energy,OctopusSelect+ 12 Gas,9.02972,104.36,140.0,3576.2509999999997,32,32,31,100.0,false,false,8.56,3296.05,2971.67,604.58,0
